Energy,OHcov,Ocov,OOHcov,Name
-385.51603,0,0,0,Pt111
-381.21702,0.111111111,0,0,Pt111
-376.74017,0.222222222,0,0,Pt111
-372.17269,0.333333333,0,0,Pt111
-367.3877,0.444444444,0,0,Pt111
-362.26027,0.555555556,0,0,Pt111
-357.29834,0.666666667,0,0,Pt111
-385.40342,0,0,0.111111111,Pt111+OOH
-381.04881,0.111111111,0,0.111111111,Pt111+OOH
-376.30042,0.222222222,0,0.111111111,Pt111+OOH
-371.71814,0.333333333,0,0.111111111,Pt111+OOH
-366.55895,0.444444444,0,0.111111111,Pt111+OOH
-361.04416,0.555555556,0,0.111111111,Pt111+OOH
-385.33898,0,0,0.222222222,Pt111+2OOH
-380.34184,0.111111111,0,0.222222222,Pt111+2OOH
-375.7273,0.222222222,0,0.222222222,Pt111+2OOH
-370.91431,0.333333333,0,0.222222222,Pt111+2OOH
-365.49248,0.444444444,0,0.222222222,Pt111+2OOH
-391.64417,0,0.111111111,0,Pt111+O
-387.22983,0.111111111,0.111111111,0,Pt111+O
-382.34074,0.222222222,0.111111111,0,Pt111+O
-377.64922,0.333333333,0.111111111,0,Pt111+O
-372.68242,0.444444444,0.111111111,0,Pt111+O
-367.28134,0.555555556,0.111111111,0,Pt111+O
-361.85879,0.666666667,0.111111111,0,Pt111+O
-391.42889,0,0.111111111,0.111111111,Pt111+O+OOH
-386.60728,0.111111111,0.111111111,0.111111111,Pt111+O+OOH
-381.72532,0.222222222,0.111111111,0.111111111,Pt111+O+OOH
-376.5622,0.333333333,0.111111111,0.111111111,Pt111+O+OOH
-371.79393,0.444444444,0.111111111,0.111111111,Pt111+O+OOH
-366.4063,0.555555556,0.111111111,0.111111111,Pt111+O+OOH
-397.59366,0,0.222222222,0,Pt111+2O
-392.91115,0.111111111,0.222222222,0,Pt111+2O
-387.52508,0.222222222,0.222222222,0,Pt111+2O
-382.42872,0.333333333,0.222222222,0,Pt111+2O
-377.31315,0.444444444,0.222222222,0,Pt111+2O
-371.78732,0.555555556,0.222222222,0,Pt111+2O
-366.30121,0.666666667,0.222222222,0,Pt111+2O
-397.46724,0,0.222222222,0.111111111,Pt111+2O+OOH
-391.99874,0.111111111,0.222222222,0.111111111,Pt111+2O+OOH
-386.83834,0.222222222,0.222222222,0.111111111,Pt111+2O+OOH
-381.15838,0.333333333,0.222222222,0.111111111,Pt111+2O+OOH
-375.93864,0.444444444,0.222222222,0.111111111,Pt111+2O+OOH
-403.27771,0,0.333333333,0,Pt111+3O
-398.22442,0.111111111,0.333333333,0,Pt111+3O
-392.38883,0.222222222,0.333333333,0,Pt111+3O
-386.90326,0.333333333,0.333333333,0,Pt111+3O
-381.86195,0.444444444,0.333333333,0,Pt111+3O
-376.14273,0.555555556,0.333333333,0,Pt111+3O
-370.60007,0.666666667,0.333333333,0,Pt111+3O
-402.7131,0,0.333333333,0.111111111,Pt111+3O+OOH
-397.33645,0.111111111,0.333333333,0.111111111,Pt111+3O+OOH
-391.38995,0.222222222,0.333333333,0.111111111,Pt111+3O+OOH
-385.8782,0.333333333,0.333333333,0.111111111,Pt111+3O+OOH
-375.18542,0.555555556,0.333333333,0.111111111,Pt111+3O+OOH
