Energy,OHcov,OOHcov,Ocov,Name
-378.28072,0,0,0,cavity
-374.19457,0.111111111,0,0,cavity
-370.01158,0.222222222,0,0,cavity
-365.64273,0.333333333,0,0,cavity
-360.87046,0.444444444,0,0,cavity
-355.81365,0.555555556,0,0,cavity
-350.97869,0.666666667,0,0,cavity
-384.74136,0,0,0.111111111,cavity+O
-380.5093,0.111111111,0,0.111111111,cavity+O
-375.74423,0.222222222,0,0.111111111,cavity+O
-371.37208,0.333333333,0,0.111111111,cavity+O
-366.37183,0.444444444,0,0.111111111,cavity+O
-361.65733,0.555555556,0,0.111111111,cavity+O
-356.73913,0.666666667,0,0.111111111,cavity+O
-390.77588,0,0,0.222222222,cavity+2O
-386.2571,0.111111111,0,0.222222222,cavity+2O
-381.32583,0.222222222,0,0.222222222,cavity+2O
-376.1643,0.333333333,0,0.222222222,cavity+2O
-371.20974,0.444444444,0,0.222222222,cavity+2O
-366.14552,0.555555556,0,0.222222222,cavity+2O
-360.85692,0.666666667,0,0.222222222,cavity+2O
-378.33245,0,0.111111111,0,cavity+OOH
-374.36556,0.111111111,0.111111111,0,cavity+OOH
-369.78091,0.222222222,0.111111111,0,cavity+OOH
-365.20286,0.333333333,0.111111111,0,cavity+OOH
-360.16328,0.444444444,0.111111111,0,cavity+OOH
-378.56005,0,0.222222222,0,cavity+2OOH
-373.83558,0.111111111,0.222222222,0,cavity+2OOH
-369.29244,0.222222222,0.222222222,0,cavity+2OOH
-364.46852,0.333333333,0.222222222,0,cavity+2OOH
-359.17108,0.444444444,0.222222222,0,cavity+2OOH
-384.65568,0,0.111111111,0.111111111,cavity+OOH+O
-380.04656,0.111111111,0.111111111,0.111111111,cavity+OOH+O
-375.32565,0.222222222,0.111111111,0.111111111,cavity+OOH+O
-370.26009,0.333333333,0.111111111,0.111111111,cavity+OOH+O
-365.67836,0.444444444,0.111111111,0.111111111,cavity+OOH+O
-390.86331,0,0.111111111,0.222222222,cavity+OOH+2O
-385.75977,0.111111111,0.111111111,0.222222222,cavity+OOH+2O
-380.70356,0.222222222,0.111111111,0.222222222,cavity+OOH+2O
-375.14221,0.333333333,0.111111111,0.222222222,cavity+OOH+2O
-369.93046,0.444444444,0.111111111,0.222222222,cavity+OOH+2O
